url_maps,nama,rating,jumlah_review,tipe,url_gambar,kabupaten,lat,lon,kategori,deskripsi
https://www.google.com/maps/place/Penangkaran+Rusa+Prambanan/data=!4m7!3m6!1s0x2e7a5ae1002a3ed7:0xb2fceffc69e30ce!8m2!3d-7.751196!4d110.4947242!16s%2Fg%2F11crzq_9y7!19sChIJ1z4qAOFaei4RzjCexv_OLws?authuser=0&hl=en&rclk=1,Penangkaran Rusa Prambanan,4.2,53,Temple,https://pixabay.com/get/g6db3eabfaa81bfe77ec36f57c5551eefc1f9c0662001b576a2c899723a56ebb3a8bb455b3540b62fe672516cc159e9a096561c9426fbb1831c236200dd253d14_640.jpg,Klaten,-7.751196,110.4947242,sejarah dan budaya,"Penangkaran Rusa Prambanan adalah sebuah oase hijau yang terletak tak jauh dari kemegahan Candi Prambanan di Jawa Tengah. Tempat ini menawarkan pengalaman unik berinteraksi langsung dengan puluhan rusa totol (Axis axis) yang jinak. Dahulunya, area ini merupakan lahan kosong sebelum akhirnya diubah menjadi habitat yang nyaman bagi rusa-rusa yang didatangkan dari Istana Bogor. Suasana sejuk pepohonan rindang dan hamparan rumput hijau menciptakan lingkungan yang ideal bagi rusa untuk berkembang biak, menjadikannya sebuah suaka kecil di tengah hiruk pikuk pariwisata. Pengunjung bisa melihat rusa-rusa berkeliaran bebas, memberi mereka makan, dan mengabadikan momen kedekatan dengan satwa yang cantik ini.

Di Penangkaran Rusa Prambanan, pengunjung dapat menikmati aktivitas memberi makan rusa dengan wortel atau kacang yang dijual di lokasi. Selain itu, terdapat fasilitas pendukung seperti toilet, mushola, dan area parkir yang memadai. Akses menuju penangkaran ini cukup mudah, baik menggunakan kendaraan pribadi maupun transportasi umum. Kehadiran penangkaran ini tidak hanya menjadi daya tarik wisata, namun juga sarana edukasi bagi anak-anak untuk belajar tentang konservasi satwa. Tips berkunjung, bawalah kamera untuk mengabadikan momen berharga dan datanglah di pagi atau sore hari untuk menghindari terik matahari."
https://www.google.com/maps/place/Prambanan+Temple/data=!4m7!3m6!1s0x2e7a5ae3dbd859d1:0x19e7a03b25955a2d!8m2!3d-7.7520206!4d110.4914674!16zL20vMDJzMF80!19sChIJ0VnY2-Naei4RLVqVJTug5xk?authuser=0&hl=en&rclk=1,Prambanan Temple,4.7,101078,Temple,https://pixabay.com/get/g59bb09c6c28a56be4c2c18cd6cd04e319a82261903ad874e7184e867d917455b6b898a36634dd53a13830c54dc4bbc78_640.jpg,Klaten,-7.7520206,110.4914674,sejarah dan budaya,"Candi Prambanan, mahakarya arsitektur Hindu abad ke-9, berdiri megah di dataran subur Jawa Tengah, Indonesia. Kompleks candi ini memukau dengan struktur menjulang tinggi yang dihiasi relief rumit, mengisahkan epik Ramayana dan legenda lokal. Didedikasikan untuk Trimurti – Brahma sang Pencipta, Wisnu sang Pemelihara, dan Siwa sang Perusak – Prambanan adalah bukti kejayaan Kerajaan Mataram Kuno dan keharmonisan seni Hindu-Jawa. Keindahan candi semakin terpancar saat matahari terbit dan terbenam, menciptakan siluet dramatis yang tak terlupakan.

Pengunjung dapat menjelajahi kompleks candi, mengagumi detail arsitektur, dan mempelajari sejarahnya melalui museum yang tersedia. Pertunjukan Sendratari Ramayana yang memukau diselenggarakan secara berkala di pelataran candi, memberikan pengalaman budaya yang mendalam. Akses ke Prambanan cukup mudah, baik dengan kendaraan pribadi maupun transportasi umum. Kenakan pakaian yang sopan saat berkunjung dan siapkan kamera untuk mengabadikan keindahan candi yang menakjubkan ini."
https://www.google.com/maps/place/Bukit+Cinta+Watu+Prahu+Bayat/data=!4m7!3m6!1s0x2e7a47cbc3734b9d:0x45f15bded4095f4d!8m2!3d-7.7641112!4d110.6695788!16s%2Fg%2F11bzn8ndv3!19sChIJnUtzw8tHei4RTV8J1N5b8UU?authuser=0&hl=en&rclk=1,Bukit Cinta Watu Prahu Bayat,4.1,2313,Park,https://pixabay.com/get/gbb3110cf9613fdc29df1a20a4ba01b216f64b5bf540624ac3335170366b18eb550551cce6ab662b491a24f8d41068ea638445a7cfab1a4179084d2979575b75b_640.jpg,Klaten,-7.7641112,110.6695788,aktifitas keluarga,"Bukit Cinta Watu Prahu Bayat adalah destinasi wisata perbukitan yang terletak di Bayat, Klaten, Jawa Tengah, menawarkan pemandangan alam yang memesona. Daya tarik utamanya adalah formasi batu karang menyerupai perahu (Watu Prahu) yang menjadi ikon tempat ini, dikelilingi perbukitan hijau dan hamparan sawah yang menyejukkan mata. Dahulu, tempat ini merupakan area pertambangan kapur, namun kini disulap menjadi destinasi wisata yang populer karena keindahan panorama matahari terbit dan terbenamnya yang memukau. Kondisi alam yang asri dan udara segar menjadikan Bukit Cinta Watu Prahu sebagai tempat ideal untuk melarikan diri dari hiruk pikuk kota.

Pengunjung dapat menikmati berbagai aktivitas seperti berfoto dengan latar belakang pemandangan indah, bersantai di area terbuka, atau menikmati kuliner lokal di warung-warung sekitar. Fasilitas seperti area parkir, toilet, dan spot foto instagramable juga tersedia untuk menambah kenyamanan pengunjung. Akses menuju Bukit Cinta Watu Prahu cukup mudah dijangkau dengan kendaraan pribadi maupun transportasi umum. Sebaiknya datang saat pagi atau sore hari untuk menikmati pemandangan terbaik dan membawa kamera untuk mengabadikan momen indah di tempat ini. Jangan lupa, jaga kebersihan dan lestarikan keindahan alam Bukit Cinta Watu Prahu."
https://www.google.com/maps/place/Gunung+Lanang/data=!4m7!3m6!1s0x2e7a47d931d85221:0xcfeb10c4eca17511!8m2!3d-7.7769444!4d110.6819444!16s%2Fg%2F11b_2kh4q2!19sChIJIVLYMdlHei4REXWh7MQQ688?authuser=0&hl=en&rclk=1,Gunung Lanang,4.0,14,Mountain peak,https://pixabay.com/get/gb1c752c3707af4c0995920e42c83539de6bcf12334654cba965a259e5414e162831d848bc5edac98cc416208670386e3_640.jpg,Klaten,-7.7769444,110.6819444,petualangan,"Umbul Ponggok adalah destinasi wisata air yang unik di Klaten, Jawa Tengah. Dahulu hanya sebuah umbul (mata air alami) yang kurang terawat, tempat ini kini disulap menjadi kolam alami yang jernih dengan berbagai properti menarik. Keunikan Umbul Ponggok terletak pada sensasi snorkeling atau diving di air tawar dengan pemandangan bawah air yang menakjubkan. Kita bisa berpose di dalam air dengan berbagai properti seperti sepeda motor, televisi, bahkan meja dan kursi, menciptakan foto-foto yang instagramable.

Di Umbul Ponggok, pengunjung dapat menikmati kesegaran air alami sambil berfoto di bawah air, berenang, atau sekadar bersantai. Tersedia penyewaan peralatan snorkeling dan diving, serta jasa fotografer bawah air profesional untuk mengabadikan momen seru. Lokasinya cukup mudah diakses, dan terdapat fasilitas umum seperti toilet, kamar mandi, serta warung makan. Disarankan untuk datang pada hari kerja untuk menghindari keramaian dan menikmati pengalaman yang lebih tenang. Selain itu, dengan mengunjungi tempat ini, kita turut mendukung ekonomi masyarakat lokal."
https://www.google.com/maps/place/Ijo+Temple/data=!4m7!3m6!1s0x2e7a5b1232407aa5:0x645c50631c5aaaeb!8m2!3d-7.7837725!4d110.5120459!16s%2Fm%2F0s8ww5l!19sChIJpXpAMhJbei4R66paHGNQXGQ?authuser=0&hl=en&rclk=1,Ijo Temple,4.8,1819,Temple,https://pixabay.com/get/gcaab99a78ed37574915541f0ec44aaf1a39bd8dc50955aeb3bdbe243ed43c36cce53b3a276808a057bad1ff6330102629ec6e02aadc8c986986c9c1c9eb771ac_640.jpg,Klaten,-7.7837725,110.5120459,sejarah dan budaya,"Candi Ijo, terletak di Sleman, Yogyakarta, namun sering diasosiasikan dengan Jawa Tengah karena kedekatannya, adalah kompleks candi Hindu tertinggi di Yogyakarta, menawarkan panorama alam yang menakjubkan. Candi ini unik karena terletak di atas bukit yang hijau, memberikan pemandangan 360 derajat yang memukau, terutama saat matahari terbenam. Kompleks candi ini terdiri dari beberapa bangunan candi kecil yang dipersembahkan untuk Trimurti (Siwa, Wisnu, dan Brahma), dibangun sekitar abad ke-10 hingga ke-11 pada masa Kerajaan Mataram Kuno. Suasana sejuk dan tenang menjadikan tempat ini ideal untuk meditasi dan menikmati keindahan alam.

Pengunjung dapat menikmati pemandangan sambil mempelajari sejarah candi, mengabadikan momen indah dengan berfoto, atau sekadar bersantai menikmati ketenangan. Akses menuju candi cukup mudah dengan kendaraan pribadi atau sewa, meskipun jalannya menanjak. Disarankan untuk datang saat pagi atau sore hari untuk menghindari panas terik dan mendapatkan pemandangan terbaik. Jaga kebersihan dan hormati kesucian tempat ibadah selama berkunjung."
https://www.google.com/maps/place/Gembira+Loka+Zoo+Yogyakarta/data=!4m7!3m6!1s0x2e7a57196b21a901:0x77e3f6112577fb0f!8m2!3d-7.8041337!4d110.3979883!16s%2Fm%2F0130d2nz!19sChIJAakhaxlXei4RD_t3JRH243c?authuser=0&hl=en&rclk=1,Gembira Loka Zoo Yogyakarta,4.5,47429,Zoo,https://pixabay.com/get/g400ee0cd5606fcf72f2114536648885f762571ec83cc033c5d26e3e6225368f9713da846219d0a850caeebb710f3b41f_640.jpg,Klaten,-7.8041337,110.3979883,interaksi dengan hewan,"Gembira Loka Zoo Yogyakarta, atau Kebun Binatang Gembira Loka, merupakan salah satu kebun binatang tertua dan terbesar di Indonesia. Berlokasi di Yogyakarta, kebun binatang ini menawarkan pengalaman berinteraksi dengan beragam satwa dari berbagai belahan dunia. Didirikan pada tahun 1956, Gembira Loka awalnya merupakan taman rekreasi milik Sultan Hamengkubuwono IX sebelum kemudian dikembangkan menjadi kebun binatang. Keunikan Gembira Loka terletak pada koleksi satwanya yang lengkap, termasuk satwa endemik Indonesia dan satwa langka yang dilindungi.

Di Gembira Loka, pengunjung dapat menikmati berbagai aktivitas menarik seperti memberi makan satwa, menaiki gajah atau unta, serta berkeliling danau menggunakan perahu. Fasilitas yang tersedia pun cukup lengkap, termasuk area bermain anak, restoran, dan toko souvenir. Akses menuju kebun binatang ini sangat mudah, baik menggunakan kendaraan pribadi maupun transportasi umum. Jangan lupa untuk membawa topi dan kacamata hitam, serta menjaga kebersihan selama berkunjung. Selain rekreasi, Gembira Loka juga berperan penting dalam edukasi dan konservasi satwa."
https://www.google.com/maps/place/Lumbung+Temple/data=!4m7!3m6!1s0x2e7a5ae163167d73:0x11eb0e5267fe6bc9!8m2!3d-7.7480875!4d110.4929531!16s%2Fm%2F0472h53!19sChIJc30WY-Faei4RyWv-Z1IO6xE?authuser=0&hl=en&rclk=1,Lumbung Temple,4.5,274,Temple,https://pixabay.com/get/g32eef15b669ed03b2816bdfc71b5e4f07cdedf387bdf535d102567473b1d9a7ed711c39fed781d49bd5bdf13e657834ab1e74f55341c48ec5a17ba98575221c4_640.jpg,Klaten,-7.7480875,110.4929531,sejarah dan budaya,"Destinasi wisata ""11 Oleh oleh khas Klaten (Nindy Kress)"" merupakan pusat oleh-oleh yang menawarkan beragam produk khas Klaten, Jawa Tengah. Keunikannya terletak pada koleksi lengkapnya, mulai dari makanan ringan tradisional seperti intip, wajik, dan keripik paru, hingga kerajinan tangan unik yang mencerminkan budaya lokal. Selain itu, keberadaan ""Lumbung Temple"" yang tercantum bersama nama toko oleh-oleh ini, mengindikasikan bahwa destinasi ini kemungkinan berdekatan atau terintegrasi dengan area yang memiliki nilai sejarah atau religi, menambah daya tariknya.

Di ""11 Oleh oleh khas Klaten (Nindy Kress)"", pengunjung dapat berbelanja berbagai macam oleh-oleh untuk keluarga dan teman. Tempat ini biasanya menyediakan fasilitas parkir yang memadai dan pelayanan yang ramah. Akses menuju tempat ini relatif mudah karena Klaten merupakan kota yang strategis di Jawa Tengah. Berbelanja di sini tidak hanya mendukung perekonomian lokal, tetapi juga memberikan kesempatan untuk merasakan kekayaan budaya Klaten melalui produk-produk yang ditawarkan. Pastikan untuk mencicipi berbagai macam makanan ringan sebelum membeli dan tawar-menawar harga jika memungkinkan!"
https://www.google.com/maps/place/Umbul+Nilo/data=!4m7!3m6!1s0x2e7a6a40b9c98ce5:0xa6e94685d98a13a0!8m2!3d-7.5933083!4d110.6418769!16s%2Fg%2F11b66fz2gx!19sChIJ5YzJuUBqei4RoBOK2YVG6aY?authuser=0&hl=en&rclk=1,Umbul Nilo,4.4,2573,Tourist attraction,https://pixabay.com/get/g35c6ad8c0417807822f40397f9a434ba753753ce9c1994b6aa68c311e294ee23b7d8e6e401c1361c137ec123168d4debf94fa5dd62b6367eb1e5652eea45718a_640.jpg,Klaten,-7.5933083,110.6418769,santai,"Destinasi ""Gondang Winangoen, Umbul Nilo, Gunung Beluk"" merupakan kombinasi tiga tempat wisata menarik di Jawa Tengah yang menawarkan pengalaman beragam. Gondang Winangoen kemungkinan adalah sebuah bangunan bersejarah atau situs budaya yang menyimpan cerita masa lalu. Umbul Nilo, di sisi lain, adalah sumber mata air alami atau pemandian yang terkenal dengan kejernihan airnya dan dipercaya memiliki khasiat tertentu. Gunung Beluk, kemungkinan sebuah bukit atau gunung kecil, menawarkan pemandangan alam yang indah dan suasana yang sejuk.

Pengunjung dapat menikmati aktivitas seperti berenang atau berendam di Umbul Nilo, mendaki Gunung Beluk untuk menikmati panorama, atau menjelajahi situs sejarah di Gondang Winangoen. Akses menuju lokasi ini mungkin bervariasi, sebaiknya periksa informasi transportasi lokal. Jangan lupa untuk menghormati adat dan budaya setempat saat berkunjung, serta menjaga kebersihan dan kelestarian lingkungan. Pastikan juga untuk membawa perlengkapan yang sesuai dengan aktivitas yang akan dilakukan."
https://www.google.com/maps/place/Jogja+Exotarium+Mini+Zoo/data=!4m7!3m6!1s0x2e7a58c6bcc7c0c7:0xb9ffae44fa6180c3!8m2!3d-7.7288732!4d110.3584529!16s%2Fg%2F11hbbjt72l!19sChIJx8DHvMZYei4Rw4Bh-kSu_7k?authuser=0&hl=en&rclk=1,Jogja Exotarium Mini Zoo,4.5,2545,Zoo,https://pixabay.com/get/gfe965ce376c29f9d75ce3db876bbc16fbaa8cad6fd928fd4b4e6e37115c5df1e8b9f475603398e77c4426e9b65f204c2a130049ce46bb4309f44f305dc31002b_640.jpg,Klaten,-7.7288732,110.3584529,interaksi dengan hewan,"Jogja Exotarium Mini Zoo adalah destinasi wisata unik di Yogyakarta yang memadukan konsep kebun binatang mini dengan edukasi interaktif. Berbeda dari kebun binatang konvensional, tempat ini fokus pada koleksi hewan eksotik dan langka, memungkinkan pengunjung mengenal lebih dekat berbagai spesies unik dari seluruh dunia. Selain menampilkan satwa, Jogja Exotarium juga dikelilingi pemandangan alam yang asri, menciptakan suasana yang menyegarkan dan edukatif. Daya tarik utamanya adalah kesempatan berinteraksi langsung dengan beberapa hewan, menambah pengalaman yang tak terlupakan bagi anak-anak maupun dewasa.

Pengunjung dapat menikmati berbagai aktivitas seperti memberi makan hewan, berfoto dengan satwa jinak, dan mengikuti program edukasi tentang konservasi. Fasilitas yang tersedia cukup memadai, termasuk area parkir luas, toilet, mushola, dan area bermain anak. Akses menuju Jogja Exotarium juga relatif mudah, baik menggunakan kendaraan pribadi maupun transportasi umum. Tips berkunjung, sebaiknya datang di pagi hari untuk menghindari cuaca panas dan keramaian. Jangan lupa membawa kamera untuk mengabadikan momen seru bersama hewan-hewan eksotis!"
https://www.google.com/maps/place/Saint+Mary+Marganingsih%27s+Cave/data=!4m7!3m6!1s0x2e7a48a7ebc2afed:0xce9e4de8ae28e0e9!8m2!3d-7.7838022!4d110.6300154!16s%2Fg%2F11b6gckygy!19sChIJ7a_C66dIei4R6eAoruhNns4?authuser=0&hl=en&rclk=1,Saint Mary Marganingsih'S Cave,4.8,299,Temple,https://pixabay.com/get/g276928d3e924bf667486f0d3d52cf1e230f341034bf68b174a89d6cddc77b95571107bf49cb1f23ee131faacb907c9b58a0bcf454e614f1346bcf9054c33e6fa_640.jpg,Klaten,-7.7838022,110.6300154,sejarah dan budaya,"Gua Maria Marganingsih, terletak di lereng Gunung Merapi, Jawa Tengah, merupakan tempat ziarah Katolik yang unik dan menenangkan. Daya tarik utama gua ini adalah patung Bunda Maria yang ditempatkan di dalam gua alami, di tengah formasi batuan yang indah dan sejuknya mata air. Sejarahnya bermula dari penemuan mata air ajaib yang konon menyembuhkan, sehingga gua ini menjadi simbol harapan dan tempat berdoa bagi umat Katolik. Kondisi alamnya yang asri, dikelilingi pepohonan rindang, menciptakan suasana khusyuk dan damai.

Di Gua Maria Marganingsih, pengunjung dapat melakukan doa pribadi, mengikuti misa, atau sekadar menikmati keindahan alam. Fasilitas seperti area parkir, toilet, dan toko souvenir tersedia untuk kenyamanan pengunjung. Akses menuju gua cukup mudah, namun perlu diperhatikan kondisi jalan yang mungkin licin terutama saat musim hujan. Nilai budaya lokal tercermin dalam keramahan masyarakat sekitar dan kesadaran menjaga kesucian tempat ini. Disarankan untuk berpakaian sopan dan menjaga kebersihan selama berkunjung."
